stop.id,stop.name,stop.lat,stop.lon
1564,Ctra de Collblanc-Pg del Cementiri,41.375970,2.111582
1847,Pg Vall d'Hebron-Scala Dei,41.439088,2.157768
1863,Pg Vall d'Hebron-Cementiri d'Horta,41.439719,2.158333
2040,Av Verge de Montserrat-Frederic Soler,41.326824,2.097886
704,Pl del Doctor Andreu-Funicular del Tibidabo,41.416444,2.130774
702,Parc Municipal Font del Racó,41.415508,2.129658
1056,Arbeca-Lima,41.439255,2.208038
2468,Ctra del Carmel-Pasteur,41.417216,2.158452
2469,Ctra del Carmel-Mühlberg,41.417956,2.157657
2442,Ctra del Carmel-Gran Vista,41.418135,2.157371
2281,Guipúscoa-Cantàbria,41.419864,2.202078
863,Av Catalunya-Serra d'Or,41.493949,2.182343
1105,Pg Guayaquil-Arbeca,41.439493,2.208097
1465,Caracas-Pl Fra Juníper Serra,41.439314,2.203622
1053,Ciutat d'Asunción-Potosí,41.441671,2.199823
1574,El Parador,41.382440,2.074191
